Id,Date,Tweet,Event
1457324921235939330,Sun Nov 07 12:31:51 +0000 2021, 1 millon de presupuesto por arepera para 10 años? No se si aguanta,1
1456239809098289161,Thu Nov 04 12:40:00 +0000 2021," Ahh ya entiendo eres arepera",1
1457071812920053760,Sat Nov 06 19:46:05 +0000 2021," creo que deberiamos hacer mas  canciones que hablen sobre la diversidad sexual  y animales porque  weee estos titulos estan bien chidos xD  aunque  yo cambiara Lobo Hetero por lobo BISEXUAL del Bosque",0
1451247469480796163,Thu Oct 21 18:02:14 +0000 2021," Que tristeza tan grande marica uno bien ilusionado y que le llegue lechuga picada.",0
1457712681859878924,Mon Nov 08 14:12:41 +0000 2021,"""Los maricones no deberían estar en la Guardia Civil"" o ""prefiero tener un hijo muerto o drogadicto que maricón""",1
1462547214446833665,Sun Nov 21 22:23:23 +0000 2021,"#CuartoMilenio Yo ya me he perdido chicos ¿una psicofonía de un travesti que hablaba árabe mientras cantaba flamenco?",0
1462253992055091213,Sun Nov 21 02:58:13 +0000 2021,"@_il_diavolo Se viene un dildo en tu culo también afeminado",1
1461911560373346311,Sat Nov 20 04:17:31 +0000 2021,"@ALE_JAN_DRO_SOY No en el día del orgullo gay nos felicitanbueno tampoco quiero que me feliciten ellos",1
1462021683196354566,Sat Nov 20 11:35:06 +0000 2021,@Alex_deLyf Otro que reivindica el orgullo gay. Y luego usa la palabra MARICON para ofender. Estos ROJERAS no tienen remedio ni desperdicio,0
1462768614646304775,Mon Nov 22 13:03:09 +0000 2021,@alvarosarco Entre ellos una gata vieja machorra.,1
1462838532054171658,Mon Nov 22 17:40:58 +0000 2021,@AlvaroUribeVel @CeDemocratico Viejo marica cacreco,1
1462301787138973696,Sun Nov 21 06:08:08 +0000 2021,@amishijoseduco Terrible! orgullo gay mis bolas es orgullo LGBT+,0
1462292220351074309,Sun Nov 21 05:30:08 +0000 2021,"@anamaryb Ana maria machorra amay!",1
1462809241601941511,Mon Nov 22 15:44:35 +0000 2021,@AndresPastrana_ @NicolasMaduro Estas enamorado de Maduro viejo maricon,1
1462841401809506315,Mon Nov 22 17:52:23 +0000 2021",@Arix05 Pero Ariana Margarita no nos tengas en este suspenso... Marica uno sufre,0
1462842577477111821,Mon Nov 22 17:57:03 +0000 2021,@astrodazing Marica nooooooooo. Qué peligro.,0
1462558100100161542,Sun Nov 21 23:06:38 +0000 2021,"@Bear01Mister @bbemclovin @MillosFc__ @FortalezaCEIF @nacionaloficial ¿Se enamoró de mi mijo? Típico paisa transexual travesti y periquero.",1
1462546301158141952,Sun Nov 21 22:19:45 +0000 2021,"@BlancaM59527524 @MoNtSeRRaT1471 Por qué el hace recordar que es una bollera reprimida pienso",1
1462485525844082697,Sun Nov 21 18:18:15 +0000 2021,@bulldog_punk ¿BloqueadO? Jajajaj si es que es una machorra!!,1
1462030435416948738,Sat Nov 20 12:09:53 +0000 2021,@cavaleri59 @phierrecom Se permite el orgullo gay? Pues se permite lo nuestro,1
1462809116288724996,Mon Nov 22 15:44:05 +0000 2021,@chrrygie ???? ZZZ???? nisiquiera sabes buildear bien al maricon de diluc y le dices a albedo y eula zzzz????,1
1462429382434304000,Sun Nov 21 14:35:10 +0000 2021,@cinco_zavala @ChrisGuevaraG @labitconf La generacion de Cristal se ofende por todo... orgullo gay,1
1462138819034202121,Sat Nov 20 19:20:34 +0000 2021,"@DAVIDVALVI66 No para nada pero ayer se aguitaron con lo de la playera del orgullo gay jajaja",0
1461888257722040325,Sat Nov 20 02:44:55 +0000 2021,@dayanaghisays Sabía yo que eres arepera jajajajajjajajajaja,1
1462396085826166784,Sun Nov 21 12:22:51 +0000 2021,"@DickTracy1988 @GleydisMarinez @MencoJonas @SilverKlary Ella es machorra no pare.",1
1462492624858882053,Sun Nov 21 18:46:28 +0000 2021,@DonVocero Yo correre lo mas lejos posible de esa machorra de shit.,1
1462466390351245314,Sun Nov 21 17:02:13 +0000 2021,@drago199811 @alvaro_concha Con la cara de afeminado capaz que te guste. Pokemon culeao,1
1462177184127332356,Sat Nov 20 21:53:01 +0000 2021,"@Drakspartan Y yo pensando  ese Drak ya se volvio afeminado :v",1
1462167805416009729,Sat Nov 20 21:15:45 +0000 2021,@Dreamsito_RC No había nombre menos afeminado,1
1462121041921253393,Sat Nov 20 18:09:55 +0000 2021,"@EduardLK7 @InvictosSomos Que se siente ser puto? Digo porque man lo mas afeminado posible es ser antimessi y fan de tronconaldo a la vez",1
1462400868121288709,Sun Nov 21 12:41:51 +0000 2021,@edugalan Que feo es el Cabezón enano enchufado afeminado y cobarde. Amigo de Pcr-reverse,1
1462251124270972933,Sun Nov 21 02:46:49 +0000 2021,@EI_masevarela -Don homosexual afeminado,1
1462332343935455232,Sun Nov 21 08:09:34 +0000 2021,@elespectador Jijijijiji arepera cara de nalga,1
1462810860888502281,Mon Nov 22 15:51:01 +0000 2021,"@ElPolitologoSv hay que darle calentadita al hdp para que se ponga mas enojado a ver si con un hombre actua igualmente!! el maricon!!",1
1462553739466883073,Sun Nov 21 22:49:19 +0000 2021,@fandematsi No importa como seas gay musulman judio transgenero lesviana travesti religosoetc Eres Magico,0
1461944558493839361,Sat Nov 20 06:28:39 +0000 2021,@fersupernovaa viste con la del orgullo parece un tornado gay,1
1462150728156286977,Sat Nov 20 20:07:53 +0000 2021,@GabyLevinas Y también viste marchas de orgullo Gay,0
1462808197316677633,Mon Nov 22 15:40:26 +0000 2021,@galegoenxebre @hermanntertsch Tolerante el maricon.,1
1462775114622246914,Mon Nov 22 13:28:59 +0000 2021,@gestionperfecta Ahora a robar y a perderse como la machorra de la Erika Farias... a esa no la querian ni los propios chaburros,1
1462525403655028744,Sun Nov 21 20:56:43 +0000 2021,"@GntCnTranvecos Para él ser un travesti debe ser un insulto si no no veo porque se enoje",0
1462809106939629576,Mon Nov 22 15:44:03 +0000 2021,@gocrazygoaaron no tengo familia maricon,1
1462140169486843908,Sat Nov 20 19:25:56 +0000 2021,@GothiciSolis Por "afeminado" en el caso del hombre y contranatura en ambos.,1
1462326076382887937,Sun Nov 21 07:44:39 +0000 2021,@GuidoPuka Esa no es la bandera del orgullo gay,0
1462842777725816833,Mon Nov 22 17:57:51 +0000 2021,@GustavoBolivar Cállese viejo marica.,1
1462378653162029058,Sun Nov 21 11:13:35 +0000 2021,@heroftheages y lit a veces hasta en los medios de comunicacion o etc dicen bandera gay o dia del orgullo gay,0
1462811364532047877,Mon Nov 22 15:53:01 +0000 2021,@HinchasdeMillos Payaso maricon,1
1462143051523149833,Sat Nov 20 19:37:23 +0000 2021,"@hourenstan Oiga respete arepera",1
1462552222923952131,Sun Nov 21 22:43:17 +0000 2021,@icatzqr Y tu eres chica o chico? porque este avatar de travesti?,1
1462245364120141825,Sun Nov 21 02:23:56 +0000 2021,@ilesuxz @Eljuanmavalenc1 @Entey01 es que te vi como un poco mas afeminado con juanma xd,1
1462162107491926022,Sat Nov 20 20:53:06 +0000 2021,"@immer__ @DFNeoe Afeminado de mierda deja de robarme.",1
1462457564067770376,Sun Nov 21 16:27:09 +0000 2021,"@intherceptor Jajajajaja a el mío le salió mrc pero no delicado ni afeminado le falle",1
1462126235681804289,Sat Nov 20 18:30:34 +0000 2021,@JFranAlbert @pepatrujillo65 @EqInvestigacion Nadie quiere escuchar a un afeminado lloron eso no da likes,1
